Index	Value
0	2337.722
1	817.1774
2	150.5155
3	1467.519
4	-3572.912
5	-1097.01
6	-218.4816
7	-534.6818
8	1497.28
9	-93.4964
10	467.4905
11	-733.0393
12	-2220.218
13	326.4151
14	-749.899
15	360.3395
16	2846.594
17	127.0433
18	979.5403
19	955.6923
20	-1538.816
21	-523.1522
22	-60.38828
23	-725.4351
24	-568.3759
25	-168.0714
26	-245.1386
27	-1740.168
28	-395.8056
29	440.4415
30	-921.5698
31	875.0472
32	1716.361
33	42.67596
34	878.8524
35	1133.899
36	-80.27312
37	-113.2114
38	613.0443
39	-199.3127
40	-801.3727
41	21.86165
42	-492.283
43	-1346.577
44	27.39354
45	-107.2531
46	-648.0107
47	557.2605
48	751.9127
49	-64.10147
50	693.1141
51	934.2808
52	32.37941
53	203.6329
54	750.6094
55	-345.5101
56	-481.0985
57	162.4862
58	-692.4791
59	-969.9267
60	66.06151
61	-401.1263
62	-649.9016
63	345.876
64	375.0072
65	-210.4734
66	619.6151
67	833.053
68	42.26853
69	434.8487
70	813.3523
71	-179.5698
72	-124.5413
73	287.6322
74	-454.0544
75	-647.4298
76	18.74213
77	-387.3536
78	-589.4292
79	108.4914
80	63.33551
81	-263.3164
82	363.7389
83	429.5267
84	-17.82819
85	379.7377
86	504.5142
87	-109.0221
88	76.63632
89	227.395
90	-318.139
91	-327.4417
92	49.45683
93	-381.5385
94	-407.2629
95	54.50647
96	-104.287
97	-269.4976
98	235.2026
99	198.7283
100	-31.94456
101	272.0058
102	328.2888
103	-29.78564
104	158.0954
105	214.0153
106	-124.1545
107	-115.0163
108	72.27039
109	-212.7419
110	-210.181
111	8.249971
112	-129.2948
113	-205.1764
114	63.16239
115	22.3485
116	-68.22346
117	115.2632
118	177.2487
119	-1.462701
120	72.5104
121	130.3756
122	-8.060757
123	-20.74116
124	70.48957
125	-66.90844
126	-70.0294
127	20.77648
128	-55.81178
129	-61.58415
130	4.685713
131	4.948526
132	-62.28803
133	50.17236
134	55.8322
135	-8.079077
136	46.77124
137	77.83224
138	3.990696
139	8.975597
140	71.33743
141	6.629918
142	-30.96544
143	34.72684
144	1.250881
145	-54.51876
146	-12.77818
147	2.96822
148	-59.67969
149	-32.58752
150	4.620087
151	-21.34388
152	-26.2412
153	27.50306
154	1.01616
155	-3.875767
156	36.89222
157	14.96497
158	-3.579294
159	33.04256
160	-0.7177107
161	-22.42845
162	-8.131166
163	-1.555288
164	-64.24083
165	-18.52831
166	-8.10464
167	-49.90897
168	-39.18467
169	25.8011
170	-23.67856
171	-5.085647
172	38.57103
173	32.92572
174	-4.88589
175	33.53017
176	14.77174
177	-5.19416
178	4.385519
179	1.016198
180	-32.96324
181	-0.315166
182	-16.08051
183	-31.80733
184	-0.8005682
185	7.082674
186	-18.21679
187	33.88118
188	24.12106
189	12.41256
190	10.88893
191	46.68331
192	-18.26659
193	-9.280199
194	3.559723
195	-22.27624
196	-47.37325
197	6.808794
198	-16.77491
199	-40.49444
200	-14.60854
201	8.519449
202	-12.97461
203	8.847638
204	9.713794
205	6.68601
206	0.6215118
207	23.31427
208	-12.03824
209	11.40909
210	-5.463716
211	-16.91146
212	-18.37584
213	-7.042063
214	-29.41841
215	-35.10487
216	8.032261
217	-16.4287
218	-19.05713
219	25.20637
220	-1.428735
221	6.682636
222	29.1206
223	26.01397
224	3.864623
225	14.79121
226	17.57701
227	-10.83858
228	-10.84047
229	-1.901437
230	-15.91903
231	-17.89151
232	-6.061857
233	-5.913239
234	-5.317296
235	-4.318547
236	6.579277
237	-10.54461
238	16.69793
239	9.81459
240	5.395233
241	16.77087
242	-1.870848
243	4.698735
244	-10.02374
245	5.178884
246	-21.30398
247	-7.754647
248	-13.66343
249	-10.23969
250	-11.28438
251	4.457024
252	-9.650351
253	1.211268
254	3.796323
255	11.31893
256	5.635579
257	9.062403
258	0.6550709
259	-0.2553218
260	-6.143674
261	-5.562436
262	-5.873478
263	-1.897099
264	-16.37252
265	-2.229284
266	-0.665239
267	-1.037567
268	3.208165
269	11.01859
270	6.42755
271	2.247584
272	9.097
273	-1.675409
274	2.105483
275	-6.193982
276	-7.23613
277	-7.674823
278	-7.087224
279	-6.251318
280	-7.474671
281	-5.414091
282	15.22864
283	-8.536583
284	9.940353
285	2.275769
286	10.18094
287	3.570021
288	11.0442
289	-1.687867
290	3.436637
291	-3.823892
292	7.74338
293	-19.97918
294	-5.792198
295	-0.1478372
296	-10.94368
297	-9.101152
298	7.00563
299	-1.748557
300	2.769779
301	9.762788
302	18.95585
303	3.90805
304	14.82039
305	10.85605
306	-7.9315
307	6.732115
308	-3.000218
309	-16.71312
310	2.406651
311	-8.69719
312	-22.1819
313	-2.594463
314	14.13012
315	-19.83784
316	13.33324
317	22.17789
318	-0.9697916
319	17.87128
320	34.60292
321	7.024693
322	1.000448
323	21.69201
324	1.570662
325	-25.94885
326	8.827164
327	-14.97211
328	-12.81187
329	-3.828534
330	-9.47068
331	-9.937298
332	16.65463
333	16.53927
334	-6.885668
335	28.60238
336	21.62994
337	2.953005
338	13.05658
339	10.05177
340	-6.934484
341	-19.4665
342	1.803389
343	-35.85046
344	-17.95557
345	0.5427888
346	-10.3007
347	-28.30902
348	20.91543
349	12.41705
350	-0.9406359
351	48.29963
352	25.21234
353	2.051114
354	30.6083
355	25.187
356	-8.733265
357	-11.70598
358	14.04652
359	-44.02133
360	-19.13591
361	-4.371488
362	-26.32636
363	-19.91649
364	26.87972
365	2.175826
366	-2.086821
367	42.83841
368	19.3646
369	3.84619
370	39.88295
371	15.51019
372	-20.30315
373	2.58179
374	-3.610465
375	-43.46065
376	-17.22946
377	-8.346861
378	-53.18056
379	-23.02356
380	21.53562
381	-13.28981
382	-6.143265
383	49.24302
384	25.88084
385	6.30559
386	69.40099
387	18.28035
388	-4.449012
389	21.73962
390	0.08386717
391	-39.10372
392	-10.80606
393	-4.38213
394	-47.95223
395	-9.128074
396	13.52818
397	-24.59982
398	-1.501029
399	52.49448
400	6.009792
401	18.78955
402	68.94044
403	10.95633
404	-1.08486
405	40.30729

